,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,seq_id,vehicle_type,violation_type,year
39,21-901.2,GRAY,No,No,ROCKVILLE,No,LAND ROVER,LR3,56e6c823-635b-4ee9-8e72-630f10cceb98,02 - Automobile,Citation,2006
40,21-707(a),"GREEN, DK",No,No,GARRETT PARK,No,TOYOTA,VAN,435529af-8029-4b86-9871-2ba6583b9862,02 - Automobile,Citation,2005
41,21-309(b),RED,Yes,No,GAITHERSBURG,No,JEEP,CHEROKEE,eb69417c-964e-4299-a838-d4a01f7a5758,02 - Automobile,Citation,1995
42,21-902(a2),GREEN,No,No,SHARPSBURG,No,KIA,SPECTRA,660fdf73-22c0-4106-9ba7-8aad9129281f,02 - Automobile,Citation,2002
43,21-902(b1),WHITE,No,No,SILVER SPRING,No,CHEVY,VAN,2e731ea8-6b0e-4c8f-9aae-5a865f95777f,02 - Automobile,Citation,2005
44,13-401(h),SILVER,No,No,BETHESDA,No,TOYOTA,COROLLA,528c406f-574f-4082-87b3-32cfccf87ca1,02 - Automobile,Citation,2009
45,22-412.3(b),RED,No,No,BLADENSBURG,No,FORD,F350,7e61cea8-35d6-4af3-aec1-5ad5b2622a9d,05 - Light Duty Truck,Citation,2005
46,13-401(h),GRAY,No,No,SILVER SPRING,No,BMW,325CI,88a019af-1b92-4650-9758-97a3d1db0e3d,02 - Automobile,Citation,2001
47,16-303(c),BLACK,No,No,HYATTSVILLE,No,HONDA,ACCORD,773f38ae-1500-4cc3-a31f-1a38195bc230,02 - Automobile,Citation,1998
48,16-301(j),SILVER,No,No,HYATTSVILLE,No,SCION,XB,d962287d-1211-42f0-97db-e64423da3c10,02 - Automobile,Citation,2010
49,13-401(h),BLACK,No,No,BELTSVILLE,No,LEXUS,RX300,251da229-636b-4a85-a853-31980e841928,02 - Automobile,Citation,1999
50,22-412.3(b),BLACK,No,No,DARTMOUTH,No,SAAB,93,791a4f6a-2400-46a9-97ad-3ef00011ee16,02 - Automobile,Citation,1999
51,21-707(a),GREEN,No,No,BETHESDA,No,FORD,AEROSTAR,54b5c75f-be07-483b-b21c-cef33a0cfe57,02 - Automobile,Citation,1994
52,22-412.3(b),BLACK,No,No,COLUMBIA,No,HOND,4S,7c4b0cb1-5367-46b7-86a8-ea9bc591fafc,02 - Automobile,Citation,2002
53,21-202(h1),WHITE,No,No,GAITHERSBURG,No,FORD,VAN,efbafd3f-eb73-4150-8a37-341c9736f1d6,02 - Automobile,Citation,2000
54,21-801.1,BLACK,No,No,WASHINGTON,No,HYUNDIA,SONOTA,eefa5d2e-b183-4a33-8e85-386c15100b41,02 - Automobile,Citation,2012
55,21-902(a2),BLACK,No,No,GERMANTOWN,No,JEEP,SU,1fa6ae51-6aea-40e2-a653-af24971556fb,02 - Automobile,Citation,2011
56,21-1112,BLACK,No,No,GERMANTOWN,No,JEEP,SU,1fa6ae51-6aea-40e2-a653-af24971556fb,02 - Automobile,Citation,2011
57,21-901.1(b),BLUE,No,No,SILVER SPRING,No,MITS,MONTERO,9411ea19-c8fe-4841-9987-f0ed9e125cae,02 - Automobile,Citation,2002
58,21-801.1,"GREEN, DK",No,No,MONTGOMERY VILLAGE,No,TOYOTA,COROLLA,6031da78-5c87-4a36-889f-edecc1c3ccea,02 - Automobile,Citation,1997
59,20-103(a),GRAY,No,No,HYATTSVILLE,No,HONDA,PILOT,d4890b31-d873-4400-a954-6cbddaf5e6e8,02 - Automobile,Citation,2008
60,16-101(a),SILVER,No,No,LAUREL,No,FORD,WINDSTAR,1e621174-6974-4ced-ac15-981ed48915a7,02 - Automobile,Citation,2002
61,21-309(b),YELLOW,No,No,WHEATON,No,JEEP,WRANGER,b4c8ffc7-4eb3-49b7-b653-f25300a15ded,02 - Automobile,Citation,2014
62,21-902(b1),SILVER,No,No,GERMANTOWN,No,HONDA,CRV,755acd01-f7ab-4efb-aaf1-8e8b36524d30,02 - Automobile,Citation,2009
