,charge,color,commercial_license,commercial_vehicle,driver_city,hazmat,make,model,vehicle_type,violation_type,year
254,21-309(b),WHITE,No,No,ROCKVILLE,No,AUDI,4S,02 - Automobile,Citation,2004
255,21-801.1,SILVER,No,No,MONKTON,No,HOND,4S,02 - Automobile,Citation,2008
256,21-204.1,WHITE,No,No,WASHINGTON,No,FORD,SUV,02 - Automobile,Warning,2018
257,21-202(i1),BLACK,No,No,ROCKVILLE,No,MERCEDES,C300,02 - Automobile,Warning,2018
258,22-412.3(b),GOLD,No,No,SILVER SPRING,No,NISSAN,PATHFINDER,08 - Recreational Vehicle,Warning,1997
259,21-1124.1(b),GOLD,No,No,SILVER SPRING,No,NISSAN,PATHFINDER,08 - Recreational Vehicle,Warning,1997
260,13-401(b1),GRAY,No,No,ROCKVILLE,No,DODGE,CHARGER,03 - Station Wagon,Warning,2017
261,21-801.1,WHITE,No,No,GAITHERSBURG,No,CHEV,PU WK TK,05 - Light Duty Truck,Citation,2005
262,21-801.1,BLACK,No,No,ROCKVILLE,No,HONDA,4DR,02 - Automobile,Citation,2016
263,21-902(b1),BLACK,No,No,N BETHESDA,No,TOYOTA,4DR,02 - Automobile,Citation,2015
264,17-107(a1),GRAY,No,No,ROCKVILLE,No,DODGE,CHARGER,03 - Station Wagon,Warning,2017
265,22-412.3(b),BLACK,No,No,OLNEY,No,HONDA,2DR,02 - Automobile,Citation,2005
266,16-112(c),SILVER,No,No,SILVER SPRING,No,NISSAN,ALTIMA,02 - Automobile,Citation,2011
267,21-902(a1),SILVER,No,No,OLNEY,No,HONDA,2D,02 - Automobile,Citation,2002
268,13-411(f),BLACK,No,No,BOYDS,No,BMW,2H,02 - Automobile,Warning,2016
269,21-801.1,SILVER,No,No,GERMANTOWN,No,NISS,4S,02 - Automobile,Warning,2012
270,21-801(a),SILVER,No,No,GERMANTOWN,No,NISS,4S,02 - Automobile,Warning,2012
271,21-601(d),RED,No,No,GERMANTOWN,No,TOYOTA,COROLLA,02 - Automobile,Warning,2019
272,21-1124.2(d2),SILVER,No,No,HYATTSVILLE,No,INFINITI,Q40,02 - Automobile,Warning,2015
273,13-411(f),BLACK,No,No,SILVER SPRING,No,HONDA,PILOT,02 - Automobile,Warning,2017
274,13-411(d),BLACK,No,No,SILVER SPRING,No,HONDA,PILOT,02 - Automobile,Warning,2017
275,21-601(a),SILVER,No,No,WINDSOR MILL,No,TOYOTA,SIENNA,02 - Automobile,Warning,2013
276,21-310(a),BLACK,No,No,BOWIE,No,BMW,CP,02 - Automobile,Citation,1996
277,21-801.1,GRAY,No,No,POTOMAC,No,CHEVY,SUV,02 - Automobile,Citation,2001
278,13-409(b),SILVER,No,No,SILVER SPRING,No,TOYOTA,SIENNNA,02 - Automobile,Citation,2004
279,21-801(b),WHITE,No,No,SILVER SPRING,No,OLDS,4S,02 - Automobile,Citation,1995
280,21-801.1,RED,No,No,OLNEY,No,FORD,4S,02 - Automobile,Citation,2000
281,21-801.1,SILVER,No,No,ROCKVILLE,No,BMW,4DR,02 - Automobile,Citation,2011
282,21-801.1,RED,No,No,SILVER SPRING,No,FORD,2S,02 - Automobile,Citation,2016
283,21-801.1,SILVER,No,No,LAYTONSVILLE,No,FORD,4S,02 - Automobile,Citation,2010
284,21-202(h2),SILVER,No,No,WINDSOR MILL,No,TOYOTA,SIENNA,02 - Automobile,Warning,2013
285,21-801.1,WHITE,No,No,SILVER SPRING,No,TOYOTA,COROLLA,02 - Automobile,Citation,2003
286,21-801(b),BLACK,No,No,SILVER SPRING,No,VOLKSWAGON,JETTA,02 - Automobile,Citation,1996
287,16-303(h),TAN,No,No,SILVER SPRING,No,HONDA,4 DOOR,02 - Automobile,Citation,2005
288,21-201(a1),SILVER,No,No,WINDSOR MILL,No,TOYOTA,SIENNA,02 - Automobile,Warning,2013
289,16-301(j),BLACK,No,No,SILVER SPRING,No,MAZD,SUV,28 - Other,Citation,2011
290,21-801.1,WHITE,No,No,HAGERSTOWN,No,SUBA,SW,28 - Other,Citation,2011
291,21-801.1,RED,No,No,BETHESDA,No,TOYOTA,4 DOOR,02 - Automobile,Citation,2010
292,21-202(h2),RED,No,No,PEACH BOTTOM,No,NISSAN,SENTRA,02 - Automobile,Warning,2019
293,16-301(j),WHITE,No,No,ROCKVILLE,No,VOLKSW,JETTA,02 - Automobile,Citation,2011
294,21-201(a1),RED,No,No,PEACH BOTTOM,No,NISSAN,SENTRA,02 - Automobile,Warning,2019
295,16-301(j),BLACK,No,No,ROCKVILLE,No,FORD,FUSION,02 - Automobile,Citation,2013
296,21-502(a2),RED,No,No,PEACH BOTTOM,No,NISSAN,SENTRA,02 - Automobile,Warning,2019
297,21-801.1,BLUE,No,No,BALTIMORE,No,FORD,SUV,02 - Automobile,Citation,2015
298,21-201(a1),BLACK,No,No,BALTIMORE,No,LEXUS,RX400H,28 - Other,Citation,2006
299,16-303(h),BLACK,No,No,ROCKVILLE,No,FORD,TK,02 - Automobile,Citation,2004
300,21-801.1,SILVER,No,No,OLNEY,No,CHEV,TK,02 - Automobile,Warning,2014
301,16-301(e),BLACK,No,No,ROCKVILLE,No,VOLKSWAGON,4 DOOR,02 - Automobile,Citation,2009
302,21-801.1,BLUE,No,No,SILVER SPRING,No,TOYT,2S,02 - Automobile,Warning,2007
303,21-801.1,BLUE,No,No,UPPER MARLBORO,No,NISSAN,TK,28 - Other,Citation,2007
304,21-801.1,BLACK,No,No,ROCKVILLE,No,HONDA,CRV,02 - Automobile,Warning,2019
305,21-801.1,BLUE,No,No,FROSTBURG,No,VOLK,TK,02 - Automobile,Warning,2012
306,13-401(h),SILVER,No,No,GAITHERSBURG,No,NISSAN,4S,02 - Automobile,Citation,2011
307,21-801.1,BLACK,No,No,SILVER SPRING,No,HOND,2S,02 - Automobile,Warning,2007
308,13-703(g),GRAY,No,No,ALEXANDRIA,No,VOLKS,4D,02 - Automobile,Citation,2004
309,13-411(a),WHITE,No,No,NORHTPOTOMAC,No,CHEV,CP,02 - Automobile,Warning,2010
310,23-104,WHITE,No,No,NORHTPOTOMAC,No,CHEV,CP,02 - Automobile,Warning,2010
311,22-219(a),GRAY,No,No,SILVER SPRING,No,HOND,TK,02 - Automobile,Warning,2010
312,23-104,GRAY,No,No,SILVER SPRING,No,HOND,TK,02 - Automobile,Warning,2010
313,21-1124.2(d2),GRAY,No,No,SILVER SPRING,No,HOND,TK,02 - Automobile,Warning,2010
314,21-801.1,RED,No,No,FREDERICK,No,MAZD,CN,02 - Automobile,Citation,2010
315,13-411(a),BLACK,No,No,FREDERICK,No,CHEV,4S,02 - Automobile,Warning,2017
316,21-801.1,WHITE,No,No,HAGERSTOWN,No,DODG,4S,02 - Automobile,Citation,2010
317,21-801.1,SILVER,No,No,ROCKVILLE,No,HONDA,2DR,02 - Automobile,Citation,2005
318,21-902(a1),GREEN,No,No,SILVER SPRING,No,ACURA,INTEGRA,02 - Automobile,Citation,1995
319,21-707(a),WHITE,No,No,SILVER SPRING,No,BMW,X5,28 - Other,Citation,2004
320,20-105(c),WHITE,No,No,SILVER SPRING,No,GMC,TK,02 - Automobile,Citation,2005
321,16-301(j),SILVER,No,No,BURTONSVILLE,No,INFI,FX 35,02 - Automobile,Citation,2006
322,16-101(a),BLACK,No,No,ROCKVILLE,No,LINCOLN,TOWN CAR,02 - Automobile,Citation,2000
323,23-104,BLACK,No,No,FREDERICK,No,CHEV,4S,02 - Automobile,Warning,2017
324,21-202(m),BLACK,No,No,GAITHERSBURG,No,FORD,EXPLORER,02 - Automobile,Warning,2016
325,21-707(a),GRAY,No,No,SILVER SPRING,No,SAAB,93,02 - Automobile,Citation,2006
326,21-402(a),WHITE,No,No,SILVER SPRING,No,TOYOTA,CAMRY,02 - Automobile,Citation,2011
327,21-308(a),BROWN,No,No,HERNDON,No,MERCURY,4D,02 - Automobile,Citation,2011
328,23-104,WHITE,No,No,SILVER SPRING,No,HYUN,4S,02 - Automobile,Warning,2013
329,22-204(f),WHITE,No,No,SILVER SPRING,No,HYUN,4S,02 - Automobile,Warning,2013
330,21-1124.2(d2),BLACK,No,No,WASHINGTON,No,PORCHE,CAYENNE,02 - Automobile,Warning,2009
331,21-201(a1),BLACK,No,No,WASHINGTON,No,PORCHE,CAYENNE,02 - Automobile,Warning,2009
332,21-309(b),BLACK,No,No,WASHINGTON,No,PORCHE,CAYENNE,02 - Automobile,Warning,2009
333,21-901.1(b),BLACK,No,No,WASHINGTON,No,PORCHE,CAYENNE,02 - Automobile,Warning,2009
334,22-226(a),WHITE,No,No,SILVER SPRING,No,ACURA,TSX,02 - Automobile,Warning,2007
335,13-946(c),WHITE,No,No,SILVER SPRING,No,ACURA,TSX,02 - Automobile,Warning,2007
336,21-902(b1),BLUE,No,No,ROCKVILLE,No,TOYOTA,RAV4,02 - Automobile,Citation,2006
337,22-206(a),SILVER,No,No,MONTGOMERY VILLAGE,No,ACUR,2S,02 - Automobile,Warning,2002
338,21-1003(aa),ORANGE,No,No,GAITHERSBURG,No,HONDA,CIVIC,02 - Automobile,Warning,2008
339,16-301(e),GREEN,No,No,DAMASCUS,No,MERC,COUGAR,02 - Automobile,Warning,2002
340,21-801.1,BLACK,No,No,DAMASCUS,No,FORD,TK,02 - Automobile,Warning,2015
341,21-801.1,WHITE,No,No,RIVERDALE,No,FORD,ECONOLINE,02 - Automobile,Warning,2012
342,21-310(a),BLACK,No,No,SILVER SPRING,No,INFI,4S,02 - Automobile,Warning,2007
343,21-801.1,BLACK,No,No,FREDERICK,No,ACURA,MDX,02 - Automobile,Warning,2016
344,16-112(c),BLACK,No,No,FREDERICK,No,ACURA,MDX,02 - Automobile,Warning,2016
345,13-409(b),BLACK,No,No,FREDERICK,No,ACURA,MDX,02 - Automobile,Warning,2016
346,13-409(b),WHITE,No,No,BETHESDA,No,HYUNDAI,SONATA,02 - Automobile,Warning,2011
347,17-104.2(b2),BLACK,No,No,FREDERICK,No,ACURA,MDX,02 - Automobile,Warning,2016
348,11-393.9,WHITE,No,No,PARKVILLE,No,MITS,DS,05 - Light Duty Truck,Warning,2003
349,21-801.1,GREEN,No,No,TAKOMA PARK,No,KIA,VAN,28 - Other,Warning,2005
350,21-801.1,WHITE,No,No,OLNEY,No,HONDA,CIVIC,02 - Automobile,Warning,2015
351,21-802.1,BLACK,No,No,ROCKVILLE,No,BUIC,4S,02 - Automobile,Warning,2006
352,21-801.1,RED,No,No,SILVER SPRING,No,DODG,VN,02 - Automobile,Warning,2001
353,21-801.1,SILVER,No,No,BROOKEVILLE,No,TOYT,4H,02 - Automobile,Warning,2011
354,21-801.1,BLACK,No,No,WOODSBORO,No,LEXS,4S,02 - Automobile,Warning,2004
355,21-802.1,SILVER,No,No,GAITHERSBURG,No,MERCEDES,4S,02 - Automobile,Warning,2006
356,21-801.1,GRAY,No,No,WASHINGTON,No,NISS,GR4S,02 - Automobile,Warning,2005
357,21-802.1,SILVER,No,No,OAKTON,No,HONDA,VN,02 - Automobile,Warning,2010
358,21-801.1,BLACK,No,No,HYATTSVILLE,No,NISS,4S,02 - Automobile,Warning,2015
359,21-801.1,WHITE,No,No,BROOKEVILLE,No,BMW,SUV,02 - Automobile,Warning,2018
360,21-801.1,GRAY,No,No,FREDERICK,No,VOLK,4S,02 - Automobile,Warning,2006
361,16-116(a),BLACK,No,No,FREDERICK,No,ACURA,MDX,02 - Automobile,Warning,2016
362,22-201.1,BLUE,No,No,SILVER SPRING,No,FORD,F150,02 - Automobile,Warning,2011
363,16-112(c),BLUE,No,No,SILVER SPRING,No,FORD,F150,02 - Automobile,Warning,2011
364,21-203(c),N/A,No,No,TAKOMA PARK,No,NONE,NONE,29 - Unknown,Warning,
365,21-801.1,RED,No,No,GERMANTOWN,No,TOYOTA,4S,02 - Automobile,Warning,2014
366,21-201(a1),BLACK,No,No,GERMANTOWN,No,TOYO,4D,02 - Automobile,Warning,2000
367,22-227(e),SILVER,No,No,GERMANTOWN,No,MITS,4S MONTERO,02 - Automobile,Warning,2000
368,64*,BLACK,No,No,FREDERICK,No,NISS,4S,02 - Automobile,SERO,1996
369,21-309(b),SILVER,No,No,ADELPHI,No,KIA,OPTIMA,02 - Automobile,Warning,2009
370,22-209(a),WHITE,No,No,SILVER SPRING,No,VOLKCSWAGON,JETTA,02 - Automobile,Warning,2011
371,21-707(a),BLACK,No,No,BETHESDA,No,CADI,ESCALADE,28 - Other,Warning,2008
372,21-801.1,WHITE,No,No,GERMANTOWN,No,FORD,TK,05 - Light Duty Truck,Warning,2008
373,13-411(c2),GREEN,No,No,CLIFTON,No,CHEVROLET,CRUZ,02 - Automobile,Warning,2014
374,16-112(c),GREEN,No,No,CLIFTON,No,CHEVROLET,CRUZ,02 - Automobile,Warning,2014
375,65*,SILVER,No,No,SILVER SPRING,No,TOYOTA,AVALON,02 - Automobile,ESERO,2000
376,21-801.1,TAN,No,No,SILVER SPRING,No,ACUR,SUV,05 - Light Duty Truck,Warning,2001
377,50,BLACK,No,No,GAITHERSBURG,No,MERZ,TK ML350,04 - Limousine,ESERO,2003
378,16-112(c),SILVER,No,No,ASPEN HILL,No,CHRYSLER,VOYAGER,02 - Automobile,Warning,2003
379,16-101(a1),SILVER,No,No,ASPEN HILL,No,CHRYSLER,VOYAGER,02 - Automobile,Warning,2003
380,13-401(h),SILVER,No,No,GAITHERSBURG,No,NISS,4S,02 - Automobile,Warning,2016
381,13-401(d),SILVER,No,No,GAITHERSBURG,No,NISS,4S,02 - Automobile,Warning,2016
382,13-401(d),BLACK,No,No,GAITHERSBURG,No,BMW,CN,02 - Automobile,Warning,2011
383,21-801.1,BLACK,No,No,OLNEY,No,TOYT,4S,02 - Automobile,Warning,2007
384,13-409(b),BLACK,No,No,GAITHERSBURG,No,BMW,CN,02 - Automobile,Warning,2011
385,21-801.1,GREEN,No,No,DAMASCUS,No,DODG,TK,06 - Heavy Duty Truck,Warning,2001
386,21-801.1,GRAY,No,No,GERMANTOWN,No,HONDA,PILOT,28 - Other,Warning,2005
387,21-801.1,BLACK,No,No,GERMANTOWN,No,JEEP,TK,02 - Automobile,Warning,2002
388,21-1120(c),GRAY,No,No,MIDDLETOWN,No,TOYT,SU,02 - Automobile,Warning,2009
389,21-309(b),BRONZE,No,No,NORTH POTOMAC,No,HYUNDAI,SANTA FE,02 - Automobile,Warning,2013
390,17-104.2(b2),BLACK,No,No,GAITHERSBURG,No,BMW,CN,02 - Automobile,Warning,2011
391,21-1124.2(d2),BLUE,No,No,CHEVERLY,No,NISS,4S,02 - Automobile,Warning,2008
392,13-401(h),BLUE,No,No,GAITHERSBURG,No,MAZ,VAN,02 - Automobile,Warning,2003
393,13-409(b),RED,No,No,GERMANTOWN,No,HONDA,CIVIC,02 - Automobile,Warning,2005
394,13-401(d),BLUE,No,No,GAITHERSBURG,No,MAZ,VAN,02 - Automobile,Warning,2003
395,21-801(b),RED,No,No,ROCKVILLE,No,CHEVY,CRUZE,02 - Automobile,Citation,2014
396,21-801.1,GRAY,No,No,SILVER SPRING,No,TOYT,CAMRY 4D,02 - Automobile,Warning,2015
397,21-801.1,BLACK,No,No,LAUREL,No,TOYT,4S COROLLA,02 - Automobile,Warning,2011
398,21-801.1,MAROON,No,No,MT. AIRY,No,FORD,4S CROWN VIC,02 - Automobile,Warning,1997
399,21-1003(c),BLACK,No,No,00,No,TOYT,RAV4,28 - Other,Warning,2015
400,21-801.1,BLACK,Yes,No,GERMANTOWN,No,DODG,SW,03 - Station Wagon,Warning,2008
401,11-393.9,SILVER,No,No,ROCKVILLE,No,HOND,4S,02 - Automobile,Warning,2002
402,13-409(b),BLUE,No,No,GAITHERSBURG,No,MAZ,VAN,02 - Automobile,Warning,2003
403,21-801.1,SILVER,No,No,ROCKVILLE,No,BUICK,ENCLAVE,28 - Other,Warning,2008
404,17-104.2(b2),BLUE,No,No,GAITHERSBURG,No,MAZ,VAN,02 - Automobile,Warning,2003
405,21-201(a1),WHITE,No,No,ROCKVILLE,No,NISS,TK,02 - Automobile,Warning,2017
406,22-412.3(b),SILVER,No,No,GLENWOOD,No,HYUNDAI,ACCENT,02 - Automobile,Warning,2002
407,21-707(a),WHITE,No,No,ROCKVILLE,No,NISS,TK,02 - Automobile,Warning,2017
408,21-801.1,MAROON,No,No,WOODBINE,No,ACURA,RDX,02 - Automobile,Warning,2015
409,21-801.1,GRAY,No,No,SILVER SPRING,No,KIA,SOUL,02 - Automobile,Warning,2016
410,21-202(i1),WHITE,No,No,ROCKVILLE,No,NISS,TK,02 - Automobile,Warning,2017
411,21-801.1,BEIGE,No,No,GERMANTOWN,No,MERZ,C240,02 - Automobile,Warning,2005
412,13-401(b1),GRAY,No,No,ROCKVILLE,No,TOYT,TK,02 - Automobile,Warning,2016
413,13-703(g),GRAY,No,No,ROCKVILLE,No,TOYT,TK,02 - Automobile,Warning,2016
414,21-801.1,SILVER,No,No,WESTMINSTER,No,HONDA,ELEMENT,02 - Automobile,Warning,2003
415,21-801.1,BLACK,No,No,FREDERICK,No,CADI,CTS,02 - Automobile,Warning,2010
416,21-309(b),BLACK,No,No,FREDERICK,No,MITS,MONTERO,02 - Automobile,Warning,2001
417,13-401(h),BLACK,No,No,BOWIE,No,CHEV,4S,02 - Automobile,Warning,2015
418,21-801(a),GRAY,No,No,SILVER SPRING,No,ACURA,4D,02 - Automobile,Warning,2012
419,16-116(a),BLACK,No,No,FREDERICK,No,HONDA,CIVIC,02 - Automobile,Warning,2013
420,21-801.1,RED,No,No,GERMANTOWN,No,NISS,ROGUE,02 - Automobile,Warning,2015
421,13-411(c1),WHITE,No,No,MONTGOMERY VILLAGE,No,TOYT,RAV4,02 - Automobile,Warning,2012
422,13-411(f),WHITE,No,No,MONTGOMERY VILLAGE,No,TOYT,RAV4,02 - Automobile,Warning,2012
423,21-801.1,BLUE,No,No,MOUNT AIRY,No,HD,MC,01 - Motorcycle,Warning,2009
424,11-393.9,"GREEN, DK",No,No,GERMANTOWN,No,TYOTA,CAMRY,02 - Automobile,Warning,1997
425,21-801.1,WHITE,No,No,BETHESDA,No,LEXUS,TK,02 - Automobile,Warning,2015
426,23-104,WHITE,No,No,GAITHERSBURG,No,CHEV,IMPALA,02 - Automobile,Warning,2007
427,23-104,WHITE,No,No,SEATTLE,No,CHEV,Z11,05 - Light Duty Truck,Warning,2003
428,13-411(f),WHITE,No,No,SILVER SPRING,No,TOYOTA,HIIGLANDER,28 - Other,Warning,2011
429,13-411(d),WHITE,No,No,MONTGOMERY VILLAGE,No,TOYT,RAV4,02 - Automobile,Warning,2012
430,13-411(c1),GRAY,No,No,SILVER SPRING,No,DODGE,RAM,02 - Automobile,Warning,2007
431,21-801.1,ORANGE,No,No,GERMANTOWN,No,CHEVROLET,CAMARO,02 - Automobile,Warning,2011
432,13-409(b),SILVER,No,No,GERMANTOWN,No,ACURA,INTEGRA,02 - Automobile,Warning,2001
433,13-415(f),GRAY,No,No,SILVER SPRING,No,DODGE,RAM,02 - Automobile,Warning,2007
434,21-1124.2(d2),BLACK,No,No,SILVER SPRING,No,HONDA,CRV,02 - Automobile,Warning,2013
435,21-1003(c),GRAY,No,No,XX,No,CHRY,SW,03 - Station Wagon,Warning,2006
436,13-411(a),BLACK,No,No,BETHESDA,No,HONDA,TK,02 - Automobile,Warning,2016
437,13-411(f),GRAY,No,No,GAITHERSBURG,No,HONDA,CIVIC,02 - Automobile,Warning,2017
438,13-411(d),GRAY,No,No,GAITHERSBURG,No,HONDA,CIVIC,02 - Automobile,Warning,2017
439,13-409(b),GRAY,No,No,GAITHERSBURG,No,HONDA,CIVIC,02 - Automobile,Warning,2017
440,21-309(b),BROWN,No,No,GAITHERSBURG,No,CHEV,MALIBU,02 - Automobile,Warning,2003
441,21-309(b),SILVER,No,No,CROFTON,No,TOYOTA,COROLLA,02 - Automobile,Warning,2012
442,13-411(c2),BLACK,No,No,GAITHERSBURG,No,HOND,MC,01 - Motorcycle,Warning,2006
443,21-309(b),BLACK,No,No,GERMANTOWN,No,BMW,330I 4S,02 - Automobile,Warning,2006
444,21-201(a1),BLACK,No,No,GERMANTOWN,No,NISS,VERSA,02 - Automobile,Warning,2016
445,21-707(a),BLACK,No,No,GERMANTOWN,No,NISS,VERSA,02 - Automobile,Warning,2016
446,21-202(h1),BROWN,No,No,GAITHERSBURG,No,MERCURY,SABLE,02 - Automobile,Warning,1999
447,13-410(e2),SILVER,No,No,KENSINGTON,No,TOYT,PRIUS,02 - Automobile,Warning,2015
448,22-406(b),SILVER,No,No,KENSINGTON,No,TOYT,PRIUS,02 - Automobile,Warning,2015
449,21-801.1,GREEN,Yes,No,LAINGSBURG,No,JEEP,TK,28 - Other,Warning,2002
450,21-801.1,BLACK,No,No,BAKERSFIELD,No,HYUNDAI,SONATA,02 - Automobile,Warning,2011
451,21-801.1,WHITE,No,No,PERRY HALL,No,CHEVROLET,VAN,28 - Other,Warning,2005
452,21-1120(c),BLACK,No,No,PHILADELPHIA,No,FORD,EXPLORER,28 - Other,Warning,2013
453,21-801.1,BLUE,No,No,GERMANTOWN,No,SUZUKI,4D,02 - Automobile,Warning,2012
454,21-1102(a),WHITE,No,No,CLINTON,No,INTERNATIONAL,DS TK,28 - Other,Warning,2003
455,21-309(b),RED,No,No,GERMANTOWN,No,FORD,FOCUS,02 - Automobile,Warning,2014
456,23-104,BEIGE,No,No,MONTGOMERY VILLAGE,No,TOYOTA,RAV4,02 - Automobile,Warning,5795
457,21-601(a),BLUE,No,No,GERMANTOWN,No,HONDA,CRV,28 - Other,Warning,2008
458,13-411(f),MAROON,No,No,SILVER SPRING,No,JEEP,LIBERTY,02 - Automobile,Warning,2003
459,21-309(b),SILVER,No,No,GAITHERSBURG,No,NISS,ROGUE,02 - Automobile,Warning,2009
460,21-801.1,GOLD,No,No,BROADLANDS,No,ACURA,RL,02 - Automobile,Warning,2002
461,21-801.1,SILVER,No,No,BURTONSVILLE,No,MERZ,CLK55,02 - Automobile,Warning,2004
462,11-393.45(a),RED,Yes,Yes,CROWNSVILLE,No,FRHT,DS,07 - Truck/Road Tractor,Warning,2006
463,11-393.9,WHITE,No,No,POOLESVILLE,No,FORD,TK,06 - Heavy Duty Truck,Warning,2003
464,11-393.9,WHITE,Yes,No,BOYDS,No,FORD,F450,06 - Heavy Duty Truck,Warning,2002
465,11-390.21,WHITE,No,No,GREENBELT,No,FORD,F450,06 - Heavy Duty Truck,Warning,2006
466,13-703(g),MAROON,No,No,SILVER SPRING,No,JEEP,LIBERTY,02 - Automobile,Warning,2003
467,21-801.1,BLACK,No,No,BOYDS,No,HYUN,4S,02 - Automobile,Warning,2011
468,21-801.1,WHITE,No,No,LAUREL,No,FORD,EXPLORER 2D,28 - Other,Warning,2001
469,21-309(b),GRAY,No,No,ROCKVILLE,No,OLDSMOBILE,INTRIGUE,02 - Automobile,Warning,1998
470,21-1124.2(d2),SILVER,No,No,SILVER SPRING,No,HONDA,CIVIC,02 - Automobile,Warning,2007
471,11-393.83,BLUE,No,No,GAITHERSBURG,No,BUICK,4S,02 - Automobile,Warning,1996
472,21-309(b),GREEN,No,No,GAITHERSBURG,No,TOTOTA,CAMRY,02 - Automobile,Warning,2003
473,21-707(a),GRAY,No,No,SILVER SPRING,No,SUBARU,SW,02 - Automobile,Warning,2014
474,13-411(f),WHITE,No,No,CHEVY CHASE,No,NISSAN,SENTRA,02 - Automobile,Warning,2014
475,13-411(c1),SILVER,No,No,NORTH POTOMAC,No,JEEP,COMMANDER,02 - Automobile,Warning,2007
476,13-411(d),SILVER,No,No,NORTH POTOMAC,No,CHEV,EQUINOX,02 - Automobile,Warning,2012
477,21-201(a1),N/A,No,No,BELTSVILLE,No,TOYOTA,4DR COROLLA,02 - Automobile,Warning,2003
478,22-227(b),WHITE,No,No,TAKOMA PARK,No,FORD,F-150,05 - Light Duty Truck,Warning,2008
479,21-201(a1),BLACK,No,No,SILVER SPRING,No,NISS,ROGUE,02 - Automobile,Warning,2010
480,11-393.9,BLACK,No,No,FREDERICK,No,MAZDA,3,02 - Automobile,Warning,2004
481,21-1120(b),BLACK,No,No,GAITHERSBURG,No,HONDA,ACCORD,02 - Automobile,Warning,2007
482,22-204(f),GRAY,No,No,MONTGOMERY VILLAGE,No,TOYOTA,COROLLA,02 - Automobile,Warning,2009
483,22-412.2(d),BLUE,No,No,GAITHERSBURG,No,HONDA,ACCORD,02 - Automobile,Warning,2002
484,21-801.1,GRAY,No,No,POTOMAC,No,ACURA,MDX,02 - Automobile,Warning,2011
485,21-801.1,GRAY,No,No,COLUMBIA,No,HONDA,FIT,02 - Automobile,Warning,2011
486,21-801.1,"GREEN, DK",No,No,MONTGOMERY VILLAGE,No,HONDA,ODYSSEY,02 - Automobile,Warning,2006
487,64*,WHITE,No,No,ROCKVILLE,No,CHEVY,MALIBU,02 - Automobile,ESERO,2002
488,64*,GOLD,No,No,SILVER SPRING,No,SUZ,VITARA,28 - Other,ESERO,2006
489,64*,"BLUE, DARK",No,No,SILVER SPRING,No,TOYT,COROLLA 4D,02 - Automobile,ESERO,2007
490,64*,GRAY,No,No,SILVER SPRING,No,HYUN,4S ACCENT,02 - Automobile,ESERO,2013
491,11-393.70,RED,No,Yes,MANASSAS,No,FORD,E350,06 - Heavy Duty Truck,Warning,1997
492,11-393.9,RED,No,No,DISTRICT HEIGHTS,No,FREIGHTLINER,TK,07 - Truck/Road Tractor,Warning,2011
493,11-393.9,BLACK,No,No,SILVER SPRING,No,INTERNATIONAL,TL,25 - Utility Trailer,Warning,1999
494,11-393.9,WHITE,No,No,BELTSVILLE,No,CHEVY,W5500HD,05 - Light Duty Truck,Warning,2007
495,21-309(b),BLACK,No,No,HALETHORPE,No,CHEVY,CRUZE,02 - Automobile,Warning,2013
496,64*,SILVER,No,No,SILVER SPRING,No,TOYT,4S,02 - Automobile,ESERO,2004
497,64*,TAN,No,No,SILVER SPRING,No,HYUNDAI,ELANTRA,02 - Automobile,ESERO,2012
498,21-901.2,WHITE,No,No,MIDDLETOWN,No,FORD,F350,05 - Light Duty Truck,Warning,2003
499,13-401(h),BLACK,No,No,WASHINGTON,No,MERZ,SW,02 - Automobile,Warning,1998
500,64*,BLACK,No,No,KENSINGTON,No,ACUR,RDX,02 - Automobile,ESERO,2011
501,21-308(a),BLUE,No,No,GAITHERSBURG,No,TOYT,SIENNA,02 - Automobile,Warning,2002
502,21-308(a),GRAY,No,No,WASHINGTON,No,HOND,ODYSSEY,02 - Automobile,Warning,2011
503,21-308(a),WHITE,No,No,ELKRIDGE,No,VOLK,BEETLE,02 - Automobile,Warning,2001
504,21-801.1,"BLUE, DARK",No,No,GERMANTOWN,No,AUDI,CN,02 - Automobile,Warning,2003
505,21-801.1,SILVER,No,No,LANSING,No,DODGE,CARAVAN,02 - Automobile,Warning,2011
506,21-201(a1),GOLD,No,No,SEVERN,No,TOYOTA,CAMRY,02 - Automobile,Warning,2003
507,21-308(a),GRAY,No,No,SILVER SPRING,No,ACURA,TL,02 - Automobile,Warning,2004
508,16-115(f),TAN,No,No,BETHESDA,No,LEXUS,ES300,02 - Automobile,Warning,1998
509,61*,BLUE,No,No,ROCKVILLE,No,KIA,SOUL,02 - Automobile,ESERO,2016
510,21-1111(d),BLUE,No,No,CHEVY CHASE,No,TOYOTA,CAMRY,02 - Automobile,Warning,2002
511,21-201(a1),"GREEN, DK",No,No,BETHESDA,No,TOYOTA,SIENNA,02 - Automobile,Warning,2012
512,21-707(a),WHITE,No,No,FREDERICK,No,FORD,TK,02 - Automobile,Warning,2013
513,21-901.1(b),SILVER,No,No,KENSINGTON,No,HONDA,CRV,02 - Automobile,Warning,1999
514,21-801.1,MAROON,No,No,SILVER SPRING,No,MERC,4S,02 - Automobile,Warning,2000
515,21-801.1,GRAY,No,No,LITTLESTOWN,No,FORD,ESCAPE,03 - Station Wagon,Warning,2012
